amfi_code,CAGR,Sharpe_Ratio,Max_Drawdown,CAGR_Rank,Sharpe_Rank,Drawdown_Rank,Final_Score
100016,0.026352458116335464,-0.20151706755966936,-0.247344408806733,37.0,35.0,34.0,106.0
100025,0.04455091155784441,-0.5670947928476846,-0.04308263824636346,36.0,39.0,4.0,79.0
100033,0.30099703552874524,1.093698743534631,-0.1621720857464485,7.0,7.0,20.0,34.0
101206,0.23520488754230384,1.0272133278753695,-0.11291596329323078,12.0,9.0,9.0,30.0
101207,0.07933120999915699,0.16266076928646772,-0.3544691649336603,27.0,28.0,38.0,93.0
101208,0.06504429821332125,-0.8155673679088263,-0.001622498024471732,32.0,40.0,3.0,75.0
102885,0.18218826089343754,0.8170993373494367,-0.10859862152502323,18.0,16.0,7.0,41.0
102886,0.0117093879842316,-0.20583160785470309,-0.2800112356639287,40.0,36.0,35.0,111.0
102887,0.16828673461948984,0.6195175900829828,-0.21539827112383228,20.0,22.0,30.0,72.0
118632,0.2403119561352478,1.0816591793457042,-0.17414075086657232,11.0,8.0,23.0,42.0
118633,0.16262218000296524,0.6452074382933215,-0.1862974313859551,22.0,21.0,26.0,69.0
118634,0.16361396476593382,0.44843400890899127,-0.2334488614483311,21.0,26.0,32.0,79.0
118635,0.15945481185082522,0.664856998549062,-0.11650624505409093,23.0,19.0,10.0,52.0
118636,0.053131554027608274,-0.35662950751436784,-0.08316361763638701,35.0,38.0,6.0,79.0
119092,0.0636349475771898,0.03078485095458594,-0.14401617909337266,33.0,31.0,15.0,79.0
119093,0.07891944369437343,0.12961449795669328,-0.2175139637014823,28.0,29.0,31.0,88.0
119094,0.28192608222062465,0.9982309868636413,-0.20960883862039192,9.0,11.0,28.0,48.0
119095,0.015204552427132478,-0.0759735711747892,-0.5167775370852657,39.0,33.0,39.0,111.0
119120,0.05885271270380055,-0.22657538662791576,-0.043287289239700974,34.0,37.0,5.0,76.0
119551,0.2578492084946409,1.2082665673727175,-0.15012385498645334,10.0,4.0,17.0,31.0
119552,0.21508021785499332,0.9532794968660104,-0.118034935027643,15.0,12.0,11.0,38.0
119598,0.3239808398464554,0.9453082575156095,-0.28706005721764555,2.0,14.0,36.0,52.0
119599,0.02053064146209893,-0.05718662582817995,-0.525742211701285,38.0,32.0,40.0,110.0
120503,0.18771330105513617,0.7979728586052847,-0.13897862823061635,17.0,17.0,14.0,48.0
120504,0.2327744753273051,1.0265242847993001,-0.12588275606922514,13.0,10.0,12.0,35.0
120505,0.3280159948038617,1.1801011976606492,-0.1818851357211629,1.0,5.0,25.0,31.0
120506,0.17072227512921923,0.6488787755249532,-0.1982565826298267,19.0,20.0,27.0,66.0
120507,0.0723241093234459,0.4957233929533123,-0.000977314004592568,29.0,23.0,1.0,53.0
120841,0.13522349085511554,0.4942725378672349,-0.17573614164687285,24.0,24.0,24.0,72.0
120842,0.06696806255006482,0.07599984804658923,-0.24003511326274882,31.0,30.0,33.0,94.0
120843,0.30883325525154603,1.3067439695428409,-0.1297396816518679,6.0,2.0,13.0,21.0
120844,0.0691037983940288,-0.08874729621557288,-0.0011629327956168764,30.0,34.0,2.0,66.0
125497,0.19003613208378556,0.7757902498211205,-0.15200013055606393,16.0,18.0,18.0,52.0
125498,0.11293660210400969,0.30061192104254786,-0.2111727956013212,26.0,27.0,29.0,82.0
148567,0.30949920362874206,1.4482911703262598,-0.1126572907502827,5.0,1.0,8.0,14.0
148568,0.22499840384352243,0.9262873467360144,-0.1527259422823477,14.0,15.0,19.0,48.0
148569,0.31924485848158723,1.2349300257743294,-0.16396742946932633,4.0,3.0,21.0,28.0
149322,0.13383520958789363,0.46403744922047774,-0.14844576917771746,25.0,25.0,16.0,66.0
149323,0.29558105232568344,1.1321218524747243,-0.17248105753451382,8.0,6.0,22.0,36.0
149324,0.3226210752841656,0.9497958246616031,-0.3117190030063422,3.0,13.0,37.0,53.0
